Drug1,Drug2,Severity,Interaction,Mechanism,Pharmacokinetics,Pharmacodynamics,Effect_Change,Why_Explanation,Cytochrome,Dose_Consideration,Therapeutic_Index,Onset,Route_Impact,Patient_Factors,Clinical_Advice,Evidence_Type
Warfarin,Azithromycin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Rifampicin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Omeprazole,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Clopidogrel,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Heparin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Atorvastatin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Simvastatin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Tramadol,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Codeine,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Morphine,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Diazepam,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Alprazolam,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Phenytoin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Carbamazepine,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Lisinopril,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Losartan,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Furosemide,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Spironolactone,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Levothyroxine,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Amoxicillin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Amoxicillin-Clavulanate,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Doxycycline,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Prednisolone,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Hydrochlorothiazide,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Amlodipine,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Propranolol,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Metoprolol,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Pantoprazole,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Esomeprazole,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Rosuvastatin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Gabapentin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Pregabalin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Clarithromycin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Erythromycin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Ketoconazole,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Warfarin,Fluconazole,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Insulin Glargine,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Warfarin,Glimepiride,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Warfarin,Gliclazide,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Warfarin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Ibuprofen,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Aspirin,Paracetamol,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Aspirin,Fluoxetine,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Aspirin,Sertraline,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Digoxin,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Narrow,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Amiodarone,Major,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Aspirin,Metformin,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Aspirin,Insulin,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Ciprofloxacin,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Delayed,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Azithromycin,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Aspirin,Rifampicin,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
Aspirin,Omeprazole,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Theoretical
Aspirin,Clopidogrel,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Heparin,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Clinical study
Aspirin,Atorvastatin,Moderate,Potential pharmacological interaction,CYP enzyme modulation or receptor interaction,Metabolism or absorption affected,Additive or antagonistic effects,Altered drug efficacy or toxicity,Shared metabolic pathway;Enzyme inhibition or induction;Altered drug levels,CYP3A4 / CYP2D6 involvement,Higher doses increase interaction severity,Normal,Immediate,Oral route most affected,"Higher risk in elderly, renal or hepatic impairment",Avoid or monitor depending on severity,Literature
